编号,期刊,年份,卷,期,题目,作者,作者机构,页数,主题词,分类-Q,分类-G,分类-D,分类-K,分类,duplicate_group,canonical_pid,analysis_included
1441,法学研究,2024,046,1,家庭关系民法适用和续造的顺序,刘征峰[1],[1]中南财经政法大学法学院,20,家庭关系;婚姻法;继承法;民法适用;法律续造,民商法学,民商法学,民商法学,民商法学,民商法学,,1441,yes
1442,法学研究,2025,047,1,家庭双轴结构中的财产分配体系,冉克平[1],[1]武汉大学法学院,19,直系家庭;直系组家庭;目的赠与;夫妻财产;夫妻债务,民商法学,民商法学,民商法学,民商法学,民商法学,,1442,yes
1443,法学研究,2017,39,4,家庭法与民法知识谱系的分立,刘征峰,中南财经政法大学,18,知识谱系;民法;家庭法;科学;人权;范式,民商法学,民商法学,民商法学,民商法学,民商法学,,1443,yes
1444,法学研究,2021,43,2,对中国系统论宪法学的反思,陈运生,江西财经大学法学院,16,系统论宪法学;社会系统理论;规范宪法学;社会宪法,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1444,yes
1445,法学研究,2018,40,5,对待给付风险负担的基本原则及其突破,刘洋[1],[1]上海财经大学法学院,20,风险负担;牵连关系;债务人负担主义;交付;债权人迟延,民商法学,民商法学,民商法学,民商法学,民商法学,,1445,yes
1446,法学研究,2015,0,1,导致物权变动之法院判决类型,房绍坤[1],[1]烟台大学法学院,14,物权变动;法院判决;民事判决;形成判决,民商法学,民商法学,民商法学,民商法学,民商法学,,1446,yes
1447,法学研究,2025,047,3,将有财产担保效力的破产阻断,张静[1],[1]中南财经政法大学法学院,19,将有财产担保;偏颇清偿;个别清偿;不当得利,民商法学,民商法学,民商法学,民商法学,民商法学,,1447,yes
1448,法学研究,2022,044,6,履行行政职责的作为可能性,林鸿潮[1],[1]中国政法大学法治政府研究院,17,行政职责;可问责性;行政不作为;作为可能性,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1448,yes
1449,法学研究,2019,41,4,工伤认定一般条款的建构路径,郑晓珊[1],[1]暨南大学法学院,17,工伤认定;一般条款;工作关联;48小时条款,经济法学,经济法学,经济法学,经济法学,经济法学,,1449,yes
1450,法学研究,2022,044,2,已公开个人信息的刑法保护,王华伟[1],[1]北京大学法学院,18,已公开个人信息;二次授权;合目的性;一般可访问;客观开放程度,数字法学,民商法学,刑法学,民商法学,刑法学,,1450,yes
1451,法学研究,2025,000,2,市场主体平等保护对我国经济宪法的塑造,任喜荣[1],[1]吉林大学法学院,19,市场经济;市场主体;平等保护;经济宪法;合宪性;审查基准,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1451,yes
1452,法学研究,2024,046,1,平台形态演变视域下垄断行为的异化与因应,侯利阳[1],[1]上海交通大学凯原法学院,21,互联网生态圈;数字平台;双边市场;反垄断;监管,数字法学,经济法学,经济法学,经济法学,经济法学,,1452,yes
1453,法学研究,2024,046,1,平台扼杀式并购的反垄断悖论,李希梁[1],[1]清华大学法学院,20,平台经济;初创企业;扼杀式并购;反垄断;并购审查,数字法学,经济法学,经济法学,经济法学,经济法学,,1453,yes
1454,法学研究,2021,43,3,平台监管的新公用事业理论,高薇,北京大学法学院,17,平台反垄断;公用事业管制;平台中立性,数字法学,经济法学,经济法学,经济法学,经济法学,,1454,yes
1455,法学研究,2020,42,2,平台经济从业者社会保险法律制度的构建,娄宇[1],[1]中国政法大学民商经济法学院,19,平台经济从业者;劳动关系;就业关系;社会保险;重复保险,数字法学,民商法学,经济法学,民商法学,经济法学,,1455,yes
1456,法学研究,2017,39,1,广播组织权的客体——兼析“以信号为基础的方法”,王迁,华东政法大学,23,广播组织权;信号盗窃;以信号为基础的方法,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,1456,yes
1457,法学研究,2015,0,5,庭审实质化的路径和方法,龙宗智[1],[1]四川大学法学院,18,以审判为中心;庭审实质化;司法改革;司法权,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1457,yes
1458,法学研究,2017,39,5,建设用地国有制的逻辑、挑战及变革,徐键,上海财经大学法学院,20,土地公有制 建设用地 权力性支配 集体所有土地,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,1458,yes
1459,法学研究,2016,38,3,归责视野下共同犯罪的区分制与单一制,何庆仁,中国青年政治学院法学院,19,共同犯罪;区分制;单一制;共同归责;单独归责,刑法学,刑法学,刑法学,刑法学,刑法学,,1459,yes
1460,法学研究,2016,38,2,当代中国司法生态及其改善,顾培东,四川大学法学院,19,司法生态;司法权威;司法改革,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,1460,yes
1461,法学研究,2016,38,6,当代中国政法体制的形成及意义,侯猛,北京大学法学院副教授,14,政法体制;社会主义法治;条块关系;央地关系;民主集中制,党内法规学,宪法学与行政法学,党内法规学,党内法规学,党内法规学,,1461,yes
1462,法学研究,2017,39,1,当代中国法治共识的形成及法治再启蒙,顾培东,四川大学法学院,21,法治观念;法治共识;法治启蒙,法学理论,法学理论,法学理论,法学理论,法学理论,,1462,yes
1463,法学研究,2015,0,5,当代国际私法上的一般性例外条款,陈卫佐,清华大学法学院,14,一般性例外条款;最密切联系原则;国际私法立法;矫正功能,国际法学,国际法学,国际法学,国际法学,国际法学,,1463,yes
1464,法学研究,2019,41,1,惩罚性赔偿的行政法反思,赵鹏[1],[1]中国政法大学法治政府研究院,15,行政规制;惩罚性赔偿;职业索赔;请求行政机关履职之诉,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1464,yes
1465,法学研究,2021,43,5,成文法背景下的判例实践——近代中国最高审判机构判例汇编与实效,刘昕杰[1],[1]四川大学法学院,16,近代中国;最高法院;判例;判例汇编,法律史,法律史,法律史,法律史,法律史,,1465,yes
1466,法学研究,2020,42,5,成片开发与土地征收,黄忠[1],[1]西南政法大学,18,成片开发;公共利益;征收;公共产品;地利共享,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1466,yes
1467,法学研究,2015,0,3,我国侦查权的程序性控制,詹建红[1];张威[1],[1]中南财经政法大学法学院,19,侦查权;程序性控制;司法审查;检警关系;二阶层控制模式,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1467,yes
1468,法学研究,2020,42,2,我国刑事上诉制度多元化的建构路径——以认罪认罚案件为切入点,牟绿叶[1],[1]浙江大学光华法学院,20,上诉权;上诉理由审核制;认罪认罚;审级制度,刑法学,刑法学,刑法学,刑法学,刑法学,,1468,yes
1469,法学研究,2025,000,2,我国刑事诉讼中的检察院证明责任减轻制度,艾明[1],[1]西南政法大学刑事检察研究中心,18,刑事诉讼;检察院;证明责任;证明困难;证明责任减轻,刑法学,刑法学,刑法学,刑法学,刑法学,,1469,yes
1470,法学研究,2024,046,4,我国协调国际平行诉讼的立场与方法——民事诉讼法第281条之体系解读,黄志慧[1],[1]中南财经政法大学法学院,20,先受理法院规则;不方便法院原则;国际平行诉讼;适当法院;管辖权项目,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1470,yes
1471,法学研究,2017,39,3,我国司法判决中的宪法援引及其功能——基于已公开判决文书的实证研究,冯健鹏,华南理工大学法学院,16,宪法实施;宪法援引;合宪性解释;基本权利第三人效力,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1471,yes
1472,法学研究,2018,40,4,我国批准《选择法院协议公约》的问题与对策,刘仁山[1],[1]中南财经政法大学,21,《选择法院协议公约》;判决承认与执行;国际民商事秩序,国际法学,国际法学,国际法学,国际法学,国际法学,,1472,yes
1473,法学研究,2022,44,1,我国民事执行回转理论基础与制度构造的革新,陈刚[1],[1]广州大学法学院,18,执行回转;最终调整说;审执分立;不当得利,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1473,yes
1474,法学研究,2020,42,1,我国民事自认的非约束性及其修正,段文波[1],[1]西南政法大学,17,辩论主义;争点;自认;审判排除效,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1474,yes
1475,法学研究,2016,38,4,我国民法典法人基本类型模式选择,罗昆,武汉大学法学院副教授,18,法人;营利法人;企业法人;社团法人;财团法人,民商法学,民商法学,民商法学,民商法学,民商法学,,1475,yes
1476,法学研究,2017,39,5,我国法治政府建设地区差异的定量分析,王敬波,中国政法大学法治政府研究院,18,法治政府 区域法治 地方政府 定量分析,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1476,yes
1477,法学研究,2022,044,6,我国犯罪附随后果制度规范化研究,彭文华[1],[1]上海政法学院刑事司法学院,18,犯罪附随后果;刑事处罚;合宪性;比例原则,刑法学,刑法学,刑法学,刑法学,刑法学,,1477,yes
1478,法学研究,2023,045,1,我国知识产权法院的治理实效与制度逻辑,陈天昊[1];苏亦坡[1],[1]清华大学公共管理学院,26,知识产权法院;司法改革;裁判质效;技术调查官;繁简分流,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,1478,yes
1479,法学研究,2020,42,4,我国社区矫正法的历史地位与立法特点,吴宗宪[1],[1]北京师范大学刑事法律科学研究院,18,社区矫正;社区矫正法;社会参与,刑法学,刑法学,刑法学,刑法学,刑法学,,1479,yes
1480,法学研究,2020,42,5,我国行政诉讼中的预防性保护,罗智敏[1],[1]中国政法大学法学院,17,预防性保护;停止执行;先予执行;保全措施;实质性化解行政争议,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1480,yes
1481,法学研究,2025,047,1,我国证券虚假陈述侵权责任规范模式之重构,邢会强[1],[1]中央财经大学法学院,18,虚假陈述;欺诈发行;欺诈市场理论;过错推定;因果关系推定,刑法学,刑法学,刑法学,刑法学,刑法学,,1481,yes
1482,法学研究,2016,38,1,我国集体土地征收制度的构建,王克稳,苏州大学王健法学院、东吴公法与比较法研究所,17,集体土地征收;公益性建设用地;集体经营性建设用地,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,1482,yes
1483,法学研究,2016,38,5,所指确定与法律解释——一种适用于一般法律词项的指称理论,陈坤,山东大学法学院,22,法律解释;一般法律词项;语言惯习;立法意图,法学理论,法学理论,法学理论,法学理论,法学理论,,1483,yes
1484,法学研究,2020,42,4,托底型回购合同的风险转嫁机理,王文胜[1],[1]湖南大学法学院,20,回购合同;融资租赁;按揭;担保;保证,民商法学,民商法学,民商法学,民商法学,民商法学,,1484,yes
1485,法学研究,2019,41,1,执法能力的损耗与重建——以基层食药监执法为经验样本,刘杨[1],[1]中南财经政法大学法学院,18,执法偏差;执法能力;执法过程;执法体制;一线执法,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1485,yes
1486,法学研究,2024,046,3,扩用无因管理相反请求权研究,李中原[1],[1]苏州大学王健法学院,20,扩用无因管理;相反请求权;不当得利;自由接受;强迫得利,民商法学,民商法学,民商法学,民商法学,民商法学,,1486,yes
1487,法学研究,2022,044,6,技术从属性下雇主的算法权力与法律规制,田思路[1],[1]华东政法大学经济法学院,19,劳动关系;技术从属性;算法权力;劳动管理权;算法规制,数字法学,民商法学,经济法学,民商法学,经济法学,,1487,yes
1488,法学研究,2018,40,5,技术侦查证据使用问题研究,程雷[1],[1]中国人民大学刑事法律科学研究中心,18,技术侦查措施;技术侦查证据;监听;证据使用,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1488,yes
1489,法学研究,2022,044,3,"技术标准之许可定价规则的""非国家化""——以可比许可法为中心",马一德[1],[1]中国科学院大学,22,技术标准;价值评估;可比许可法;专利劫持,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,1489,yes
1490,法学研究,2023,045,5,报偿赠与论,刘勇[1],[1]南京大学法学院,20,赠与合同;报偿赠与;合同目的;解除权,民商法学,民商法学,民商法学,民商法学,民商法学,,1490,yes
1491,法学研究,2018,40,1,抵押权时效问题的民法表达,邹海林,中国社会科学院法学研究所,15,抵押权 时效 诉讼时效 除斥期间,民商法学,民商法学,民商法学,民商法学,民商法学,,1491,yes
1492,法学研究,2022,044,2,抵销预期的发现及其价值———以保证金的破产抵销为线索,娄爱华[1],[1]苏州大学王健法学院,19,抵销预期;保证金;破产;同一合同;偏颇清偿,民商法学,民商法学,民商法学,民商法学,民商法学,,1492,yes
1493,法学研究,2021,43,5,抽逃出资规则及公司分配制度的系统性改造,王军[1],[1]中国政法大学,17,抽逃出资;公司分配;资本维持;实际偿付能力检测;董事义务,民商法学,民商法学,民商法学,民商法学,民商法学,,1493,yes
1494,法学研究,2016,38,2,担保物权实现的程序标的：实践、识别与制度化,任重,清华大学法学院,20,担保物权;非讼程序;民事权益争议;诉讼标的;事实预决效力,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1494,yes
1495,法学研究,2023,045,3,拼图抑或印证：中国刑事法官事实认定的实践检视,左卫民[1],[1]四川大学法学院,17,事实认定;法官心证;印证;拼图模式;实证研究,刑法学,刑法学,刑法学,刑法学,刑法学,,1495,yes
1496,法学研究,2018,40,2,探索激励相容的个人数据治理之道——中国个人信息保护法的立法方向,周汉华[1],[1]中国社会科学院法学研究所,21,激励相容;个人信息保护法;个人信息控制权;信息安全风险;大数据时代,数字法学,民商法学,民商法学,民商法学,民商法学,,1496,yes
1497,法学研究,2016,38,1,援引法定刑的刑法解释——以马乐利用未公开信息交易案为例,孙谦,最高人民检察院,17,援引法定刑;刑法解释;存疑时有利于被告;罪刑相适应;马乐案,刑法学,刑法学,刑法学,刑法学,刑法学,,1497,yes
1498,法学研究,2020,42,1,支持理论下民事诉讼当事人法律意识的实证研究,"冯晶[1,2]",[1]西南政法大学法学院;[2]西南政法大学人民法庭研究中心,25,法律意识;司法公信力;特定支持;普遍支持;司法改革,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1498,yes
1499,法学研究,2015,0,5,支持起诉原则的法理及实践意义再认识,陈刚[1],[1]华东政法大学外国法与比较法研究院,18,社会干预;支持起诉;公益诉讼;社会管理参与权,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1499,yes
1500,法学研究,2020,42,6,收养法的社会化:从亲子法转向儿童法,邓丽[1],[1]中国社会科学院法学研究所,19,收养法;社会化;儿童最大利益;最有利于被收养人原则,民商法学,民商法学,民商法学,民商法学,民商法学,,1500,yes
1501,法学研究,2022,044,2,改革型地方立法变通机制的反思与重构,王建学[1],[1]天津大学法学院,17,法制统一;立法变通;地方立法;比例原则,法学理论,法学理论,法学理论,法学理论,法学理论,,1501,yes
1502,法学研究,2020,42,1,故意伤害案件中赔偿影响量刑的机制,"高通[1,2]",[1]南开大学法学院;[2]南开大学人权研究中心,17,故意伤害案件;赔偿;谅解;量刑,刑法学,刑法学,刑法学,刑法学,刑法学,,1502,yes
1503,法学研究,2017,39,5,故意杀人罪死刑裁量机制的实证研究,王越,北京大学法学院,20,故意杀人罪 死刑 实证研究,刑法学,刑法学,刑法学,刑法学,刑法学,,1503,yes
1504,法学研究,2023,045,2,数字人权规范构造的体系化展开,高一飞[1],[1]浙江工商大学法学院,15,数字人权;数字法学;规范构造;数字权利;数字化生存,数字法学,宪法学与行政法学,宪法学与行政法学,法学理论,宪法学与行政法学,,1504,yes
1505,法学研究,2023,045,4,数字公民的身份确认及权利保障,马长山[1],[1]华东政法大学,19,数字法治;数字公民;数字政府;数字人权;数字权利,数字法学,宪法学与行政法学,宪法学与行政法学,法学理论,宪法学与行政法学,,1505,yes
1506,法学研究,2023,045,5,数字平台管制：公共性理论的反思与经济管制的适用,李剑[1],[1]上海交通大学凯原法学院,20,数字平台;公共承运人;新公用事业;经济管制;互操作义务,数字法学,经济法学,经济法学,经济法学,经济法学,,1506,yes
1507,法学研究,2023,045,5,数字时代保护作品完整权的功能更代及存废思考,易玲[1],[1]中南大学法学院,15,保护作品完整权;著作人格权;名誉权;改编权,知识产权法学,民商法学,知识产权法学,知识产权法学,知识产权法学,,1507,yes
1508,法学研究,2023,045,1,数字时代的技术性正当程序：理论检视与制度构建,苏宇[1],[1]中国人民公安大学法学院,17,技术性正当程序;数字政府;自动化行政;智能决策;程序正义,数字法学,宪法学与行政法学,宪法学与行政法学,民商法学,民商法学,,1508,yes
1509,法学研究,2021,43,5,数字时代的身份构建及其法律保障:以个人信息保护为中心的思考,陆青[1],[1]浙江大学光华法学院,21,身份建构;个人信息;数字身份;隐私权,数字法学,民商法学,民商法学,民商法学,民商法学,,1509,yes
1510,法学研究,2023,045,5,数字私力救济——基于远程控制网联物的权利实现,王琦[1],[1]北京航空航天大学法学院,22,远程控制;网联物;私力救济;占有保护;共同占有;格式条款,数字法学,民商法学,民商法学,民商法学,民商法学,,1510,yes
1511,法学研究,2022,044,4,数字经济视域下包容审慎监管的法治逻辑,刘权[1],[1]中央财经大学法学院,15,包容审慎监管;数字经济;营商环境;容错机制;有为政府,数字法学,经济法学,经济法学,经济法学,经济法学,,1511,yes
1512,法学研究,2024,046,5,数字证据及其阶梯式分类审查机制,郑飞[1],[1]北京交通大学法学院,18,数字证据;电子数据;区块链证据;大数据证据;人工智能证据;虚拟仿真证据,数字法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1512,yes
1513,法学研究,2023,045,3,数据产权的法律表达,刘文杰[1],[1]中国政法大学比较法学研究院,18,数据权;数据生产者;数据来源者;访问权;合理使用,数字法学,经济法学,民商法学,民商法学,民商法学,,1513,yes
1514,法学研究,2023,045,4,数据何以确权,王利明[1],[1]中国人民大学法学院,18,数据确权;数据流通;双重权益结构;合理使用,数字法学,经济法学,民商法学,民商法学,民商法学,,1514,yes
1515,法学研究,2023,045,2,数据公平利用的法理反思与制度重构,丁晓东[1],[1]中国人民大学法学院,16,数据利用;数据确权;数据访问与利用权;数据治理;数字经济,数字法学,经济法学,民商法学,民商法学,民商法学,,1515,yes
1516,法学研究,2018,40,6,数据的私法定位与保护,纪海龙[1],[1]华东师范大学法学院,20,数据;数据文件所有权;个人信息;权利客体,数字法学,民商法学,民商法学,民商法学,民商法学,,1516,yes
1517,法学研究,2023,045,2,数据确权的误区,周汉华[1],[1]中国社会科学院法学研究所,18,数据确权;财产规则;责任规则;反公地悲剧;网络效应,数字法学,经济法学,民商法学,民商法学,民商法学,,1517,yes
1518,法学研究,2023,045,3,数据确权：理路、方法与经济意义,熊丙万[1];何娟[2],[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,19,数据财产权;行为规制;持有权;使用权;经营权,数字法学,民商法学,民商法学,民商法学,民商法学,,1518,yes
1519,法学研究,2023,045,3,整体法秩序视野下被害人自陷风险的理论重塑,陈璇[1],[1]中国人民大学刑事法律科学研究中心,20,被害人自陷风险;注意义务;被害人承诺;整体法秩序,法学理论,法学理论,法学理论,法学理论,法学理论,,1519,yes
1520,法学研究,2019,41,6,文书真伪认定的中国路径,曹志勋[1],[1]北京大学法学院,19,文书;形式证明力;文书真伪之诉;证明责任;公文书,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1520,yes
1521,法学研究,2023,045,4,文体活动自甘冒险的风险分配与范围划定,申海恩[1],[1]中国政法大学民商经济法学院,21,自甘冒险;文体活动;注意义务;重大过失;风险分配,法学理论,法学理论,法学理论,法学理论,法学理论,,1521,yes
1522,法学研究,2025,000,2,文化中国的法律构建——以历史文化遗产法为中心,李富鹏[1],[1]中国政法大学法学院,17,文化中国;文化国;国家目的;国家目标;历史文化遗产法,法学理论,法学理论,法学理论,法学理论,法学理论,,1522,yes
1523,法学研究,2025,047,1,文化传承视角下的中国传统法典编纂,宋玲[1],[1]中央民族大学法学院,17,文化传承;中国传统;法典编纂;法治建设,法律史,法律史,法律史,法律史,法律史,,1523,yes
1524,法学研究,2017,39,6,新思想引领法治新征程——习近平新时代中国特色社会主义思想对依法治国和法治建设的指导意义,张文显,中国法学会,18,八个“明确” 依法治国 法治新征程 中国特色社会主义法治,法学理论,法学理论,法学理论,法学理论,法学理论,,1524,yes
1525,法学研究,2019,41,4,新时代中国法治理论创新发展的六个向度,李林[1],[1]中国社会科学院法学研究所,18,法治理论;依法治国;法治体系;法治实效;国际法治,国际法学,国际法学,国际法学,国际法学,国际法学,,1525,yes
1526,法学研究,2018,40,4,新时代推进社会公平正义的法治要义,"胡玉鸿[1,2]",[1]苏州大学王健法学院;[2]中国法治现代化研究院,14,新时代中国特色社会主义思想;学习十九大报告;社会公平正义,法学理论,法学理论,法学理论,法学理论,法学理论,,1526,yes
1527,法学研究,2021,43,3,新时代行政审判因应诉源治理之道,章志远,华东政法大学,17,诉源治理;诉前调解;社会治理;法治社会;行政审判,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1527,yes
1528,法学研究,2024,046,5,新时代行政生效裁判检察监督之道,章志远[1],[1]华东政法大学,17,行政检察;检察监督;行政生效裁判;行政争议实质性化解;国家治理现代化,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1528,yes
1529,法学研究,2017,39,4,方法论演进视野下的中国法律实证研究,雷鑫洪,中国人民公安大学法学院,20,法律实证研究;可视化计量分析;法学方法论;法学研究范式,法学理论,法学理论,法学理论,法学理论,法学理论,,1529,yes
1530,法学研究,2024,046,5,无益费用的赔偿限制原理,尚连杰[1],[1]南京大学法学院,20,无益费用;信赖利益;履行利益;过失相抵;可预见性,民商法学,民商法学,民商法学,民商法学,民商法学,,1530,yes
1531,法学研究,2015,0,1,既判力相对性原则：根据、例外与制度化,张卫平[1],[1]清华大学法学院,19,既判力;既判力相对性原则;既判力主观范围;第三人撤销之诉,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1531,yes
1532,法学研究,2022,044,6,明代监察系统内部监察制度析论,陈国平[1],[1]中国社会科学院法学研究所,17,明朝;监察制度;内部监察,法律史,法律史,法律史,法律史,法律史,,1532,yes
1533,法学研究,2017,39,5,明清时期地权秩序的构造及其启示,汪洋,清华大学法学院,20,管业秩序 地权分化 一田多主 典制 三权分置,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,环境与资源保护法学,,1533,yes
1534,法学研究,2022,044,4,晚清时期国人对法院组织的认知,侯欣一[1],[1]天津财经大学法学院,20,法院认知;法院功能;独立审判;法院组织;诉讼程序,法律史,法律史,法律史,法律史,法律史,,1534,yes
1535,法学研究,2022,044,3,晚清杀尊亲属罪转型中的基本问题,张一民[1],[1]北京大学历史学系,15,杀尊亲属;外祖父母;减刑主义;编纂体例,法律史,法律史,法律史,法律史,法律史,,1535,yes
1536,法学研究,2019,,3,晚清西方视角中的中国家庭法,,以哲美森译_刑案汇览_为中心-于明-华东政法大学法律学院,,,法律史,法律史,法律史,法律史,法律史,,1536,yes
1537,法学研究,2018,40,4,智能互联网时代的法律变革,马长山[1],[1]华东政法大学,19,互联网;大数据;人工智能;法律变革;法律转型,数字法学,法学理论,数字法学,数字法学,数字法学,,1537,yes
1538,法学研究,2018,40,5,智能投资顾问模式中的主体识别和义务设定,高丝敏[1],[1]清华大学法学院,18,智能金融;智能投资顾问;长臂规则;信义义务,民商法学,民商法学,民商法学,民商法学,民商法学,,1538,yes
1539,法学研究,2021,43,6,最小必要原则在平台处理个人信息实践中的适用,武腾[1],[1]中央财经大学法学院,19,个人信息保护;最小必要原则;网络平台;忠实义务;补充性的合同解释,数字法学,民商法学,民商法学,民商法学,民商法学,,1539,yes
1540,法学研究,2021,43,3,有组织犯罪案件分案审理问题研究,龙宗智,四川大学法学院,19,有组织犯罪;分案审理;合并审理,刑法学,刑法学,刑法学,刑法学,刑法学,,1540,yes
1541,法学研究,2015,0,6,期待可能性理论的引入及限定性适用,钱叶六,苏州大学王健法学院,20,期待可能性;阶层式犯罪构成体系;责任减免事由;超法规的期待可能性事由,刑法学,刑法学,刑法学,刑法学,刑法学,,1541,yes
1542,法学研究,2024,046,3,期待权之检讨,袁野[1],[1]武汉大学法学院,19,期待权;规范性概念;描述性概念;所有权保留;不动产买受人,民商法学,民商法学,民商法学,民商法学,民商法学,,1542,yes
1543,法学研究,2017,39,3,机能的思考方法下的罪数论,庄劲,中山大学法学院,17,罪数论;竞合论;罪数标准,刑法学,刑法学,刑法学,刑法学,刑法学,,1543,yes
1544,法学研究,2019,41,3,构建公共服务法律体系的理论逻辑及现实展开,陈云良[1];寻健[2],[1]广东外语外贸大学法学院;[2]中南大学法学院,12,公共服务;社会保障;公共服务基本法;平衡充分发展,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1544,yes
1545,法学研究,2018,40,3,构建行政公益诉讼的客观诉讼机制,刘艺[1],[1]西南政法大学,12,行政诉讼;行政公益诉讼;客观诉讼,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,宪法学与行政法学,,1545,yes
1546,法学研究,2018,40,3,构成要件错误的本质:故意行为危险的偏离,柏浪涛[1],[1]华东师范大学法学院,19,构成要件错误;法定符合说;行为意志;故意归属;危险偏离,刑法学,刑法学,刑法学,刑法学,刑法学,,1546,yes
1547,法学研究,2017,39,5,案件事实的归属论证,黄泽敏,中南财经政法大学法学院,19,法律论证 归属论证 涵摄模式 等置模式 递进式符合模式,法学理论,法学理论,法学理论,法学理论,法学理论,,1547,yes
1548,法学研究,2021,43,5,案外人对执行标的主张实体权利的程序救济,金印[1],[1]中国人民大学法学院,15,"案外人异议之诉;案外人申请再审;""客体同一性""",诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1548,yes
1549,法学研究,2015,0,4,检察人员对分类管理改革的立场——以问卷调查为基础,程金华[1],[1]华东政法大学国际金融法律学院,15,司法改革;司法人员分类管理;利益相关者;实证研究,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1549,yes
1550,法学研究,2015,0,1,检察官相对独立论,朱孝清[1],[1]原最高人民检察院,17,检察官;检察一体;相对独立;检察体制改革,诉讼法学,诉讼法学,诉讼法学,诉讼法学,诉讼法学,,1550,yes
1551,法学研究,2020,42,6,欺诈市场理论反思,耿利航[1],[1]中国政法大学民商经济法学院、制度学研究院,21,欺诈市场理论;交易因果关系;虚假陈述;集团诉讼;代表人诉讼,刑法学,刑法学,刑法学,刑法学,刑法学,1551-1552,1551,yes
1552,法学研究,2020,,6,欺诈市场理论反思,耿利航,中国政法大学民商经济法学院、制度学研究院,,,民商法学,民商法学,民商法学,民商法学,民商法学,1551-1552,1551,no
1553,法学研究,2024,046,6,正当防卫中的退避义务,江溯[1],[1]北京大学法学院,20,正当防卫;防卫权;退避义务;团结义务,刑法学,刑法学,刑法学,刑法学,刑法学,,1553,yes
1554,法学研究,2019,41,4,正当防卫法律规则司法重构的经验研究,赵军[1],[1]北京师范大学刑事法律科学研究院,18,正当防卫;法律规则的司法重构;经验研究,刑法学,刑法学,刑法学,刑法学,刑法学,,1554,yes
1555,法学研究,2015,0,2,死刑存废的民意维度——以组织卖淫罪可罚性观念的测量为中心,赵军[1],[1]北京师范大学刑事法律科学研究院,16,死刑改革;组织卖淫罪;民意;可罚性观念,刑法学,刑法学,刑法学,刑法学,刑法学,,1555,yes
1556,法学研究,2015,0,1,死刑适用标准的体系化构造,劳东燕[1],[1]清华大学法学院,21,死刑适用;死缓;死缓限制减刑;死刑立即执行;指导案例,刑法学,刑法学,刑法学,刑法学,刑法学,,1556,yes
