编号,期刊,年份,题目,作者,作者机构,研究创新性,现状洞察度,理论建构力,逻辑连贯性,学术共识度,前瞻延展性,研究创新性_std,现状洞察度_std,理论建构力_std,逻辑连贯性_std,学术共识度_std,前瞻延展性_std,总分,平均标准差
1469,法学研究,2025,我国刑事诉讼中的检察院证明责任减轻制度,艾明[1],[1]西南政法大学刑事检察研究中心,56,64.2,63.8,84,76.5,79.2,12.3,5.9,19.5,2.3,8.3,3.4,70.62,8.62
1470,法学研究,2024,我国协调国际平行诉讼的立场与方法——民事诉讼法第281条之体系解读,黄志慧[1],[1]中南财经政法大学法学院,82.5,83.2,75,86.5,87.7,78.2,4.1,4.3,5.3,2.4,2.5,4.7,81.96,3.88
1471,法学研究,2017,我国司法判决中的宪法援引及其功能——基于已公开判决文书的实证研究,冯健鹏,华南理工大学法学院,60.5,80.5,71.8,81.2,82.5,80.8,18.2,1.9,5.3,3.0,7.1,3.0,76.21,6.42
1472,法学研究,2018,我国批准《选择法院协议公约》的问题与对策,刘仁山[1],[1]中南财经政法大学,48.2,81.8,61.2,80.7,80.8,77.5,10.4,6.5,11.1,4.6,3.4,4.1,71.3,6.68
1473,法学研究,2022,我国民事执行回转理论基础与制度构造的革新,陈刚[1],[1]广州大学法学院,66.8,74,86.2,83.8,84.2,83.2,21.9,8.5,9.5,2.1,0.5,3.5,79.96,7.67
1474,法学研究,2020,我国民事自认的非约束性及其修正,段文波[1],[1]西南政法大学,78.8,84.5,88,89.8,86.2,67.2,7.5,4.9,6.7,3.3,6.2,5.7,82.42,5.72
1475,法学研究,2016,我国民法典法人基本类型模式选择,罗昆,武汉大学法学院副教授,68.8,85.5,80,87.5,82.2,79,17.8,4.1,6.7,3.3,3.1,1.2,80.5,6.03
1476,法学研究,2017,我国法治政府建设地区差异的定量分析,王敬波,中国政法大学法治政府研究院,32.2,49,41.2,75.8,76,54.5,2.1,11.5,7.5,2.9,1.4,6.6,54.79,5.33
1477,法学研究,2022,我国犯罪附随后果制度规范化研究,彭文华[1],[1]上海政法学院刑事司法学院,72.5,79.5,66.8,85.5,80.5,76.2,4.1,1.9,5.4,6.6,4.8,6.2,76.83,4.83
1478,法学研究,2023,我国知识产权法院的治理实效与制度逻辑,陈天昊[1];苏亦坡[1],[1]清华大学公共管理学院,63,82,80,82.5,83,82,23.5,3.6,6.7,4.4,3.5,1.4,78.75,7.18
1479,法学研究,2020,我国社区矫正法的历史地位与立法特点,吴宗宪[1],[1]北京师范大学刑事法律科学研究院,31.2,38.2,41.2,63.2,56.8,58,2.5,9.6,4.8,5.7,11.2,8.5,48.12,7.05
1480,法学研究,2020,我国行政诉讼中的预防性保护,罗智敏[1],[1]中国政法大学法学院,65.2,81,70.2,81.2,85.2,73.2,12.4,2.6,14.4,3.0,2.5,7.0,76.04,6.98
1481,法学研究,2025,我国证券虚假陈述侵权责任规范模式之重构,邢会强[1],[1]中央财经大学法学院,83,87.5,84.2,88,84.2,80.5,3.4,3.8,2.9,4.3,2.9,1.9,84.58,3.2
1482,法学研究,2016,我国集体土地征收制度的构建,王克稳,苏州大学王健法学院、东吴公法与比较法研究所,71.5,56,59.5,86.2,83.2,77.7,9.0,22.2,16.0,7.7,2.8,2.5,72.13,10.03
1483,法学研究,2016,所指确定与法律解释——一种适用于一般法律词项的指称理论,陈坤,山东大学法学院,75.8,59.3,77,82.5,81.8,57.2,18.7,38.6,3.5,3.3,2.9,12.1,72.83,13.18
1484,法学研究,2020,托底型回购合同的风险转嫁机理,王文胜[1],[1]湖南大学法学院,72,69.2,87.5,89,87.8,66.8,12.0,10.3,3.3,2.0,2.1,8.9,78.71,6.43
1485,法学研究,2019,执法能力的损耗与重建——以基层食药监执法为经验样本,刘杨[1],[1]中南财经政法大学法学院,38.8,71.5,69.8,89.2,75,36.2,13.1,3.4,3.3,3.0,6.0,2.5,63.42,5.22
1486,法学研究,2024,扩用无因管理相反请求权研究,李中原[1],[1]苏州大学王健法学院,78.5,85.2,84.2,86,82.2,82.5,9.7,2.2,4.3,2.8,8.3,2.1,83.12,4.9
1487,法学研究,2022,技术从属性下雇主的算法权力与法律规制,田思路[1],[1]华东政法大学经济法学院,71,83.8,72,82.5,80.8,73.8,8.7,1.5,5.0,3.3,3.4,1.5,77.29,3.9
1488,法学研究,2018,技术侦查证据使用问题研究,程雷[1],[1]中国人民大学刑事法律科学研究中心,69.5,66,79.2,83.2,81.2,79.5,8.4,19.3,7.2,4.3,3.0,1.9,76.46,7.35
1489,法学研究,2022,"技术标准之许可定价规则的""非国家化""——以可比许可法为中心",马一德[1],[1]中国科学院大学,62.5,73,81.5,89.2,82.8,58.2,16.4,8.1,3.4,4.9,4.6,12.6,74.54,8.33
1490,法学研究,2023,报偿赠与论,刘勇[1],[1]南京大学法学院,63.3,84,84,85.7,86.2,71.5,28.9,3.5,5.3,6.7,1.5,4.4,79.1,8.38
1491,法学研究,2018,抵押权时效问题的民法表达,邹海林,中国社会科学院法学研究所,66,88.2,54.5,81.5,64.8,79.5,18.8,2.9,14.5,4.7,23.2,4.2,72.42,11.38
1492,法学研究,2022,抵销预期的发现及其价值———以保证金的破产抵销为线索,娄爱华[1],[1]苏州大学王健法学院,80.2,85.8,84.2,89,89.5,74,8.3,2.9,2.9,1.2,1.0,4.9,83.79,3.53
1493,法学研究,2021,抽逃出资规则及公司分配制度的系统性改造,王军[1],[1]中国政法大学,86.2,91.2,82.5,90,87.8,84.2,2.5,4.3,9.1,1.6,2.1,1.5,87,3.52
1494,法学研究,2016,担保物权实现的程序标的：实践、识别与制度化,任重,清华大学法学院,68.8,83.2,84,87.5,86.2,80,32.5,3.5,4.2,2.9,4.2,1.6,81.62,8.15
1495,法学研究,2023,拼图抑或印证：中国刑事法官事实认定的实践检视,左卫民[1],[1]四川大学法学院,59.2,76.8,61.2,80,80,59.2,20.5,1.5,11.9,1.6,3.6,5.1,69.42,7.37
1496,法学研究,2018,探索激励相容的个人数据治理之道——中国个人信息保护法的立法方向,周汉华[1],[1]中国社会科学院法学研究所,62,82.8,61,82,84.2,77.8,22.0,3.2,14.7,2.9,1.5,2.1,74.96,7.73
1497,法学研究,2016,援引法定刑的刑法解释——以马乐利用未公开信息交易案为例,孙谦,最高人民检察院,64,50.5,58.5,87.2,80,58.3,12.6,24.7,13.4,5.9,12.1,3.5,66.78,12.03
1498,法学研究,2020,支持理论下民事诉讼当事人法律意识的实证研究,"冯晶[1,2]",[1]西南政法大学法学院;[2]西南政法大学人民法庭研究中心,72.8,82.8,82.5,79,80.5,74.2,6.4,3.6,7.1,4.8,1.9,1.3,78.62,4.18
1499,法学研究,2015,支持起诉原则的法理及实践意义再认识,陈刚[1],[1]华东政法大学外国法与比较法研究院,60.8,77.2,41.5,78.2,80,79.2,9.6,5.7,1.0,2.9,1.6,3.4,69.5,4.03
1500,法学研究,2020,收养法的社会化:从亲子法转向儿童法,邓丽[1],[1]中国社会科学院法学研究所,67.2,83.8,65.8,84,86,81.5,13.5,5.1,16.4,4.2,1.4,1.0,78.04,6.93
1501,法学研究,2022,改革型地方立法变通机制的反思与重构,王建学[1],[1]天津大学法学院,82.8,83.5,85,91.2,87,84.2,8.6,1.7,0.0,3.0,1.7,1.5,85.57,2.75
1502,法学研究,2020,故意伤害案件中赔偿影响量刑的机制,"高通[1,2]",[1]南开大学法学院;[2]南开大学人权研究中心,77.5,75.2,76.2,81.5,85,77.5,5.6,5.3,3.5,4.9,3.5,5.6,78.59,4.73
1503,法学研究,2017,故意杀人罪死刑裁量机制的实证研究,王越,北京大学法学院,74.2,72,82.7,85.5,87.8,84.5,5.3,0.0,6.8,5.0,2.6,3.3,82.4,3.83
1504,法学研究,2023,数字人权规范构造的体系化展开,高一飞[1],[1]浙江工商大学法学院,36.8,78,84,81.8,86.2,67.2,11.4,5.7,10.7,3.3,4.2,5.1,72.33,6.73
1505,法学研究,2023,数字公民的身份确认及权利保障,马长山[1],[1]华东政法大学,35.5,77.3,50,82,73.2,72,1.7,4.6,12.2,4.9,5.7,5.7,64.48,5.8
1506,法学研究,2023,数字平台管制：公共性理论的反思与经济管制的适用,李剑[1],[1]上海交通大学凯原法学院,68,79.2,59,86.2,88,71.2,28.8,13.3,20.7,3.9,3.8,4.8,75.29,12.55
1507,法学研究,2023,数字时代保护作品完整权的功能更代及存废思考,易玲[1],[1]中南大学法学院,74,81.2,53,75,83.5,69.5,5.4,2.2,14.1,0.0,4.4,4.2,72.71,5.05
1508,法学研究,2023,数字时代的技术性正当程序：理论检视与制度构建,苏宇[1],[1]中国人民公安大学法学院,57.8,78.2,71.5,82.5,85,81,19.1,2.9,9.0,4.1,2.4,3.6,75.78,6.85
1509,法学研究,2021,数字时代的身份构建及其法律保障:以个人信息保护为中心的思考,陆青[1],[1]浙江大学光华法学院,78.2,62.5,78.8,89,80.5,79.5,9.4,33.7,5.4,2.0,15.0,1.9,78.08,11.23
1510,法学研究,2023,数字私力救济——基于远程控制网联物的权利实现,王琦[1],[1]北京航空航天大学法学院,84,88.5,87.7,88,88.8,83,6.2,2.5,5.5,2.4,1.0,2.4,86.61,3.33
1511,法学研究,2022,数字经济视域下包容审慎监管的法治逻辑,刘权[1],[1]中央财经大学法学院,46.2,66.2,55.8,81.5,75.5,64.2,3.5,8.5,4.3,2.9,10.5,8.1,64.92,6.3
1512,法学研究,2024,数字证据及其阶梯式分类审查机制,郑飞[1],[1]北京交通大学法学院,45.5,72.5,81.2,84.8,73.5,81.5,26.8,11.6,3.8,5.7,10.4,2.6,73.17,10.15
1513,法学研究,2023,数据产权的法律表达,刘文杰[1],[1]中国政法大学比较法学研究院,71.2,73.2,82.5,87.5,87.8,62,11.4,12.3,7.1,3.3,1.7,5.7,77.38,6.92
1514,法学研究,2023,数据何以确权,王利明[1],[1]中国人民大学法学院,69.8,81.2,70.5,87.5,77.8,68,6.7,6.4,7.1,2.4,9.1,8.9,75.79,6.77
1515,法学研究,2023,数据公平利用的法理反思与制度重构,丁晓东[1],[1]中国人民大学法学院,84.5,85.3,73,89.2,86.8,72,1.7,0.6,3.5,3.4,1.3,5.7,81.65,2.7
1516,法学研究,2018,数据的私法定位与保护,纪海龙[1],[1]华东师范大学法学院,80,86.8,78.2,84.2,85.8,80,6.9,1.5,2.4,7.0,2.2,1.6,82.5,3.6
1517,法学研究,2023,数据确权的误区,周汉华[1],[1]中国社会科学院法学研究所,68.2,83.5,62.5,86.8,87.8,80.5,21.1,1.3,18.5,3.9,2.1,6.0,78.21,8.82
1518,法学研究,2023,数据确权：理路、方法与经济意义,熊丙万[1];何娟[2],[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,66,82,75,89.5,85.8,72.8,35.5,1.6,14.4,1.9,2.9,3.3,79.04,9.93
1519,法学研究,2023,整体法秩序视野下被害人自陷风险的理论重塑,陈璇[1],[1]中国人民大学刑事法律科学研究中心,85.8,89,87.5,91,88.8,68.2,7.2,2.0,3.3,2.0,3.0,2.4,85.04,3.32
1520,法学研究,2019,文书真伪认定的中国路径,曹志勋[1],[1]北京大学法学院,78.8,89.2,75.2,86.8,87.5,70,3.0,3.4,3.8,3.9,1.0,4.4,81.25,3.25
1521,法学研究,2023,文体活动自甘冒险的风险分配与范围划定,申海恩[1],[1]中国政法大学民商经济法学院,79,82.5,84.2,89,87.5,79.2,8.4,2.5,1.5,2.0,1.7,3.4,83.58,3.25
1522,法学研究,2025,文化中国的法律构建——以历史文化遗产法为中心,李富鹏[1],[1]中国政法大学法学院,40,60,43,86.2,73.5,77.2,10.0,20.1,5.8,6.2,12.9,1.5,63.33,9.42
1523,法学研究,2025,文化传承视角下的中国传统法典编纂,宋玲[1],[1]中央民族大学法学院,39,71,49.2,76,88,37.5,4.2,12.9,5.1,6.2,4.0,8.8,60.12,6.87
1524,法学研究,2017,新思想引领法治新征程——习近平新时代中国特色社会主义思想对依法治国和法治建设的指导意义,张文显,中国法学会,22.5,0,35,48.8,36.2,12.5,15.0,0.0,0.0,4.8,6.3,15.0,25.83,6.85
1525,法学研究,2019,新时代中国法治理论创新发展的六个向度,李林[1],[1]中国社会科学院法学研究所,30,37.5,33.8,69,54,60,0.0,5.0,9.5,14.5,10.2,5.8,47.38,7.5
1526,法学研究,2018,新时代推进社会公平正义的法治要义,"胡玉鸿[1,2]",[1]苏州大学王健法学院;[2]中国法治现代化研究院,30,28.8,39.5,70.8,41.2,51.2,5.0,10.3,4.2,10.4,4.8,7.5,44.17,7.03
1527,法学研究,2021,新时代行政审判因应诉源治理之道,章志远,华东政法大学,49.5,69.2,64.8,83.2,75.2,80.8,23.6,8.7,8.4,4.3,3.8,3.0,70.46,8.63
1528,法学研究,2024,新时代行政生效裁判检察监督之道,章志远[1],[1]华东政法大学,31.2,77.5,61.5,80.8,79.5,61.5,2.5,13.1,9.5,3.0,1.9,6.0,65.33,6.0
1529,法学研究,2017,方法论演进视野下的中国法律实证研究,雷鑫洪,中国人民公安大学法学院,35.5,55,35,72.5,78.8,70,6.7,12.5,0.0,5.6,7.0,5.9,57.79,6.28
1530,法学研究,2024,无益费用的赔偿限制原理,尚连杰[1],[1]南京大学法学院,80.5,85.8,88.2,84.2,87.2,70,3.1,2.6,2.9,4.3,1.5,4.4,82.67,3.13
1531,法学研究,2015,既判力相对性原则：根据、例外与制度化,张卫平[1],[1]清华大学法学院,72.5,85,60.8,86.2,82.5,85.2,5.6,4.8,9.6,1.5,4.1,2.5,78.71,4.68
1532,法学研究,2022,明代监察系统内部监察制度析论,陈国平[1],[1]中国社会科学院法学研究所,33.2,23.8,53,80,64.5,42.5,3.9,11.1,3.4,6.3,19.9,9.6,49.5,9.03
1533,法学研究,2017,明清时期地权秩序的构造及其启示,汪洋,清华大学法学院,66.2,75,75,85.2,80,78.5,25.1,12.1,6.2,5.7,4.1,2.5,76.67,9.28
1534,法学研究,2022,晚清时期国人对法院组织的认知,侯欣一[1],[1]天津财经大学法学院,35,20,47.2,79.8,77.2,55.5,4.1,26.1,1.5,8.9,3.2,7.6,52.46,8.57
1535,法学研究,2022,晚清杀尊亲属罪转型中的基本问题,张一民[1],[1]北京大学历史学系,72.5,74.8,53,83.2,81.8,55,15.4,4.7,10.3,7.8,5.3,10.8,70.04,9.05
1536,法学研究,2019,晚清西方视角中的中国家庭法,,以哲美森译_刑案汇览_为中心-于明-华东政法大学法律学院,50.5,53,60.8,82.8,81,62.5,23.6,25.8,5.1,5.2,4.7,3.8,65.08,11.37
1537,法学研究,2018,智能互联网时代的法律变革,马长山[1],[1]华东政法大学,33.8,71.2,31.2,66.8,83,63.5,2.5,12.2,7.5,8.9,4.2,7.0,58.25,7.05
1538,法学研究,2018,智能投资顾问模式中的主体识别和义务设定,高丝敏[1],[1]清华大学法学院,82.5,69,87,87.8,86,75.2,3.3,6.2,2.4,2.1,1.8,3.8,81.25,3.27
1539,法学研究,2021,最小必要原则在平台处理个人信息实践中的适用,武腾[1],[1]中央财经大学法学院,66.2,79,69,80.2,80,65.8,27.8,2.6,12.3,2.6,4.0,7.2,73.38,9.42
1540,法学研究,2021,有组织犯罪案件分案审理问题研究,龙宗智,四川大学法学院,80.8,62.5,77,79.8,86.5,77,3.9,12.0,6.2,4.6,6.0,2.4,77.25,5.85
1541,法学研究,2015,期待可能性理论的引入及限定性适用,钱叶六,苏州大学王健法学院,68.5,87,68.2,85.8,87,74.8,16.2,3.5,23.1,2.9,3.4,3.8,78.54,8.82
1542,法学研究,2024,期待权之检讨,袁野[1],[1]武汉大学法学院,84,83.2,63.2,89.2,82.2,74.2,1.8,4.3,12.9,3.4,3.9,4.3,79.38,5.1
1543,法学研究,2017,机能的思考方法下的罪数论,庄劲,中山大学法学院,73.8,87.2,68.2,89,62.2,48.8,3.5,3.6,27.4,2.9,29.5,11.1,71.54,13.0
1544,法学研究,2019,构建公共服务法律体系的理论逻辑及现实展开,陈云良[1];寻健[2],[1]广东外语外贸大学法学院;[2]中南大学法学院,38.8,63.5,68.2,80,78,65.8,11.8,5.3,9.5,5.4,4.2,12.5,65.71,8.12
1545,法学研究,2018,构建行政公益诉讼的客观诉讼机制,刘艺[1],[1]西南政法大学,69.8,74.5,69,81,83,77.5,16.5,6.7,5.7,3.5,2.4,2.9,75.79,6.28
1546,法学研究,2018,构成要件错误的本质:故意行为危险的偏离,柏浪涛[1],[1]华东师范大学法学院,83,87.5,91.2,88,87,64.5,5.4,2.5,2.2,0.0,2.4,3.3,83.54,2.63
1547,法学研究,2017,案件事实的归属论证,黄泽敏,中南财经政法大学法学院,73.5,87.8,85.5,85.8,70.5,73.2,19.3,2.1,1.0,3.3,27.0,3.5,79.38,9.37
1548,法学研究,2021,案外人对执行标的主张实体权利的程序救济,金印[1],[1]中国人民大学法学院,80.2,90,61.8,87.5,84.2,82,6.6,3.6,29.5,3.3,1.5,3.6,80.96,8.02
1549,法学研究,2015,检察人员对分类管理改革的立场——以问卷调查为基础,程金华[1],[1]华东政法大学国际金融法律学院,47.8,58,44.5,70.8,80.8,68.8,19.5,10.6,6.7,8.8,3.4,7.9,61.75,9.48
1550,法学研究,2015,检察官相对独立论,朱孝清[1],[1]原最高人民检察院,42.5,53.5,58.5,78.8,67,69.5,16.6,20.2,29.2,3.0,23.2,8.0,61.62,16.7
1551,法学研究,2020,欺诈市场理论反思,耿利航[1],[1]中国政法大学民商经济法学院、制度学研究院,89,92.5,61.8,87.2,82.2,79,2.0,3.4,13.3,3.3,3.1,2.0,81.96,4.52
1552,法学研究,2020,欺诈市场理论反思,耿利航,中国政法大学民商经济法学院、制度学研究院,76.5,74.8,59,84.2,80.5,74.5,21.0,4.7,10.2,5.2,6.1,6.7,74.92,8.98
1553,法学研究,2024,正当防卫中的退避义务,江溯[1],[1]北京大学法学院,82.5,88.8,86.5,88.2,87,80,7.1,1.5,1.7,0.5,1.4,1.6,85.5,2.3
1554,法学研究,2019,正当防卫法律规则司法重构的经验研究,赵军[1],[1]北京师范大学刑事法律科学研究院,83.8,87.2,79,82.8,87.8,79.8,7.8,1.5,4.2,1.5,2.6,3.5,83.38,3.52
1555,法学研究,2015,死刑存废的民意维度——以组织卖淫罪可罚性观念的测量为中心,赵军[1],[1]北京师范大学刑事法律科学研究院,71.8,61.2,63.8,85.2,84.5,82.5,27.2,34.6,14.8,5.3,1.7,3.3,74.83,14.48
1556,法学研究,2015,死刑适用标准的体系化构造,劳东燕[1],[1]清华大学法学院,86.5,83,86.5,88,88,72.8,2.4,5.6,1.7,1.6,2.4,5.9,84.12,3.27
1557,法学研究,2020,比例原则位阶秩序的司法适用,蒋红珍[1],[1]上海交通大学凯原法学院,76.5,84,80.5,90.5,83.5,72.8,15.1,4.2,1.9,1.9,3.7,4.6,81.29,5.23
1558,法学研究,2020,比例原则的适用范围与限度,梅扬[1],[1]武汉大学法学院,74.8,80.2,67,87.2,87.2,75,20.9,2.1,19.6,4.1,2.2,2.4,78.58,8.55
1559,法学研究,2018,民事实质诉讼法论,陈刚[1],[1]广州大学法学院,78.8,77,74.8,76.2,85.2,77.5,3.0,2.4,3.8,4.2,0.5,5.0,78.25,3.15
1560,法学研究,2021,民事裁判援引规章及行政规范性文件的审查义务,汪君[1],[1]中南财经政法大学法学院,66,78.2,73,80,82.5,77.5,14.1,2.9,6.3,2.3,3.3,4.1,76.21,5.5
1561,法学研究,2016,民事证明责任分配之解释基准——以物权法第106条为分析文本,徐涤宇,中南财经政法大学法学院,72.8,79.2,79.2,77.2,82.8,52.8,7.4,3.9,5.4,4.6,4.6,12.7,74,6.43
1562,法学研究,2021,民事诉讼中具体化责任的转移:法理、条件与程度,周翠[1],[1]浙江大学光华法学院,80.5,89,82,88.5,85.8,77,1.9,1.2,2.9,1.0,1.5,2.4,83.79,1.82
1563,法学研究,2017,民事诉讼中的程序异议权研究,占善刚,武汉大学法学院,53,62.5,56,87,84.8,58.8,22.4,25.1,29.5,3.5,4.7,12.5,67,16.28
1564,法学研究,2021,民事诉讼撤销原判决之程序违法事由,占善刚,武汉大学环境法研究所;武汉大学法学院,58.5,48.8,78.8,82.8,77.5,77.2,19.8,28.1,7.9,5.1,5.0,2.2,70.58,11.35
1565,法学研究,2024,民众对司法判决的认同与信赖——基于认知实验的研究,林喜芬[1];陈齐等[2];秦裕林[1],[1]上海交通大学凯原法学院;[2]交通银行安徽省分行财管部,50.5,73.8,62.2,77.8,79,68.2,12.8,2.1,27.9,2.1,2.6,4.7,68.58,8.7
1566,法学研究,2018,民刑交叉诉讼关系处理的规则与法理,"张卫平[1,2]",[1]天津大学;[2]清华大学法学院,73.8,69.2,77.2,78.2,80.8,73.8,9.6,14.2,1.5,6.1,5.1,8.1,75.5,7.43
1567,法学研究,2016,民国时期公务员惩戒委员会体制研究,聂鑫,清华大学法学院,57.2,53.8,61.2,81.8,83.5,61,19.0,21.0,11.1,4.3,3.4,6.6,66.42,10.9
1568,法学研究,2017,民法与商法二元格局的演变与形成,施鸿鹏,浙江大学光华法学院,71,84.5,71,85.2,82,73,31.0,1.7,9.9,2.5,3.6,2.4,77.79,8.52
1569,法学研究,2021,民法典不当得利返还责任体系之展开,陈自强[1],[1]台湾大学法律学院,82.2,81.5,71.5,84.2,85.2,73,2.1,4.5,9.0,6.1,0.5,6.2,79.62,4.73
1570,法学研究,2016,民法典与民事诉讼法的连接与统合——从民事诉讼法视角看民法典的编纂,张卫平,清华大学法学院,50,61.8,58.8,83.5,74,84,7.1,22.0,14.9,7.9,10.8,4.2,68.67,11.15
1571,法学研究,2020,民法典中的动产和权利担保体系,龙俊[1],[1]清华大学法学院,78.2,84,90,88.2,89.2,80,15.8,2.7,0.0,1.3,1.0,4.1,84.96,4.15
1572,法学研究,2024,民法典体系下动产抵押权善意取得的规范续造,黄家镇[1],[1]西南政法大学民商法学院,83.3,88.2,82.2,84.2,88.8,76,2.9,2.9,4.9,1.5,1.0,5.9,83.83,3.18
1573,法学研究,2015,民法典总则编“法律行为”一章学者建议稿的编写说明,孙宪忠[1],[1]中国社会科学院法学所,52.5,76.8,57,76.8,81.8,70,20.3,3.9,16.1,4.3,4.7,12.4,69.12,10.28
1574,法学研究,2022,民法典所有权保留之担保权构成,纪海龙[1],[1]北京大学法学院,88.2,90.8,85.2,88.8,87.8,75.8,2.9,1.9,2.5,3.0,2.1,4.3,86.08,2.78
1575,法学研究,2024,民法典的精神损害赔偿体系——以功能主义为视角,洪国盛[1],[1]北京大学国际法学院,86.2,86.5,84.2,90,89.2,75.2,5.6,6.8,1.5,1.6,1.0,3.8,85.25,3.38
1576,法学研究,2016,民法典编纂的宪法学透析,林来梵,清华大学法学院教授,69.2,88.5,75.8,88.2,80.2,80.2,21.1,1.0,8.3,2.9,9.8,3.3,80.38,7.73
1577,法学研究,2019,民法典编纂视野下合同法第402条、第403条的存废,方新军[1],[1]苏州大学王健法学院,82,87.2,83.5,87,87.8,80.2,8.5,1.5,5.3,2.4,2.1,4.3,84.62,4.02
1578,法学研究,2019,民法合宪性解释的事实条件,李海平[1],[1]吉林大学法学院,78.8,85.8,86.8,84.3,85.2,82.8,6.5,4.3,4.3,2.1,1.0,3.6,83.91,3.63
1579,法学研究,2018,民法基本原则的意义脉络,易军[1],[1]中国政法大学,64.2,86,82.5,80,85.2,64.8,7.2,2.4,7.1,5.6,0.5,3.9,77.12,4.45
1580,法学研究,2016,民法基本原则：理论反思与法典表达,于飞,中国政法大学民商经济法学院,74.2,81.8,74.5,86.5,84.2,55,19.6,2.4,11.7,1.7,4.3,4.1,76.04,7.3
1581,法学研究,2018,民法总则与公司法的适用关系论,钱玉林[1],[1]华东政法大学经济法学院,66.2,82,74.8,84,88,72,14.6,4.3,3.8,1.4,2.2,11.5,77.83,6.3
1582,法学研究,2018,民法总则中非法人组织权利能力之证成,张其鉴[1],[1]北京大学法学院,84,87,76.5,87,89.5,70.5,4.2,2.6,8.7,1.4,1.9,7.1,82.42,4.32
1583,法学研究,2018,民法总则法源条款的缺失与补充,于飞,中国政法大学民商经济法学院,79.2,78.2,77,86.8,88.2,63.2,3.0,2.9,4.2,4.3,2.9,5.7,78.79,3.83
1585,法学研究,2016,治理体系的完善与民法典的时代精神,石佳友,中国人民大学法学院、中国人民大学民商事法律科学研究中心,28.8,74.5,45,72.8,86,76.5,8.3,3.0,7.1,1.5,3.2,3.1,63.92,4.37
1586,法学研究,2020,法人依瑕疵决议所为行为之效力,徐银波[1],[1]西南政法大学,79,86.8,89,82.5,90,81,16.1,1.5,4.2,3.3,2.8,1.2,84.71,4.85
1587,法学研究,2024,法典化背景下环境法基本制度的法理反思与体系建构,吴凯杰[1],[1]北京大学法学院,81.2,68.5,85.8,86.2,79,77.8,4.3,29.0,7.2,1.3,10.8,2.1,79.75,9.12
1588,法学研究,2022,法学研究中裁判文书运用的方法论检讨——以刑事法文献为例的内容分析,何挺[1],[1]北京师范大学刑事法律科学研究院,69,68.2,74.2,83.5,81,60,9.3,8.9,15.3,4.4,4.8,4.4,72.67,7.85
1589,法学研究,2020,法学研究新范式: 计算法学的内涵、范畴与方法,申卫星[1];刘云[1],[1]清华大学法学院,30,84.2,65.5,72.5,79,66.2,4.1,5.9,3.3,5.6,4.8,4.8,66.25,4.75
1590,法学研究,2020,法学研究目标受众选择的大数据分析,周翔[1];刘东亮[2],[1]浙江大学光华法学院;[2]西安交通大学法学院,57.5,75.8,75.8,77.2,77.5,76.8,27.3,1.7,2.9,1.5,6.6,5.7,73.42,7.62
1591,法学研究,2019,法官个体本位抑或法院整体本位——我国法院建构与运行的基本模式选择,顾培东[1],[1]四川大学法学院,74,78.8,67.8,80.2,84,74.5,7.1,3.0,6.8,3.3,4.2,8.7,76.54,5.52
1592,法学研究,2021,法律事实理论视角下的实质性宪法解释,莫纪宏[1],[1]中国社会科学院法学研究所,67,77.5,65.8,69.5,77,76.2,6.3,4.4,5.9,1.9,11.8,6.3,72.17,6.1
1593,法学研究,2025,法律保留的中国方案：“本质重要性”标准的引入及应用,李忠夏[1],[1]中国人民大学法学院,81.5,80.2,80,87.8,85.8,81,9.1,12.2,5.8,2.1,1.5,1.2,82.71,5.32
1594,法学研究,2024,法律关系范式之反思——以民事诉讼法为中心,袁中华[1],[1]中南财经政法大学法学院,78.2,80.8,73.2,91,85,81.8,6.9,3.0,19.3,3.6,2.4,2.4,81.26,6.27
1595,法学研究,2017,法律概念是重要的吗,雷磊,中国政法大学法学,90.8,82.8,57,89.5,74.5,72,3.0,3.6,25.0,1.0,21.7,3.6,77.75,9.65
1596,法学研究,2020,法律漏洞填补的司法论证,黄泽敏[1],[1]华东师范大学法学院,68,83.8,86.2,84.5,80,53.2,8.9,5.1,2.1,1.7,1.6,5.7,75.96,4.18
1597,法学研究,2016,法律继受中的“制度器物化”批判——以近代中国司法制度设计思路为中心,李启成,北京大学法学院,50,82.5,51.8,79.2,78.5,72.8,13.5,7.1,15.8,2.5,4.7,3.8,69.12,7.9
1598,法学研究,2021,法律行为内容评判的个案审查比对方法——兼谈民法典格式条款效力规范的解释,李世刚[1],[1]复旦大学法学院,78,80.2,88.8,89,86.2,69.8,5.7,3.3,3.0,4.8,2.5,6.2,82,4.25
1599,法学研究,2024,法律行为效力瑕疵情形的返还清算,周江洪[1],[1]浙江大学光华法学院,78.5,88.8,78.8,83,85,73,8.6,3.0,7.0,5.8,2.4,10.1,81.17,6.15
1600,法学研究,2025,法律行为汉字术语的日本翻译与中国传播史,"吴奇琦[1,2]",[1]澳门大学法学院;[2]人文社科高等研究院,65.8,89.2,40,89.5,82.2,76.2,19.0,3.4,17.8,7.7,5.1,9.9,73.83,10.48
1601,法学研究,2020,法律规范合宪性解释的方法论构造,刘召成[1],[1]天津大学法学院,84,87.8,86,90,86.2,48.8,4.2,1.3,1.4,1.6,7.7,14.2,80.46,5.07
