编号,期刊,年份,卷,期,题目,作者,作者机构,页数,原分类,专家分类,分类情形
1497,法学研究,2016,38,1,援引法定刑的刑法解释——以马乐利用未公开信息交易案为例,孙谦,最高人民检察院,17,刑法学,,
1498,法学研究,2020,42,1,支持理论下民事诉讼当事人法律意识的实证研究,"冯晶[1,2]",[1]西南政法大学法学院;[2]西南政法大学人民法庭研究中心,25,诉讼法学,,
1499,法学研究,2015,0,5,支持起诉原则的法理及实践意义再认识,陈刚[1],[1]华东政法大学外国法与比较法研究院,18,宪法学与行政法学,,
1500,法学研究,2020,42,6,收养法的社会化:从亲子法转向儿童法,邓丽[1],[1]中国社会科学院法学研究所,19,民商法学,,
1501,法学研究,2022,044,2,改革型地方立法变通机制的反思与重构,王建学[1],[1]天津大学法学院,17,宪法学与行政法学,,
1502,法学研究,2020,42,1,故意伤害案件中赔偿影响量刑的机制,"高通[1,2]",[1]南开大学法学院;[2]南开大学人权研究中心,17,刑法学,,
1503,法学研究,2017,39,5,故意杀人罪死刑裁量机制的实证研究,王越,北京大学法学院,20,刑法学,,
1504,法学研究,2023,045,2,数字人权规范构造的体系化展开,高一飞[1],[1]浙江工商大学法学院,15,宪法学与行政法学,,
1505,法学研究,2023,045,4,数字公民的身份确认及权利保障,马长山[1],[1]华东政法大学,19,宪法学与行政法学,,
1506,法学研究,2023,045,5,数字平台管制：公共性理论的反思与经济管制的适用,李剑[1],[1]上海交通大学凯原法学院,20,经济法学,,
1507,法学研究,2023,045,5,数字时代保护作品完整权的功能更代及存废思考,易玲[1],[1]中南大学法学院,15,知识产权法学,,
1508,法学研究,2023,045,1,数字时代的技术性正当程序：理论检视与制度构建,苏宇[1],[1]中国人民公安大学法学院,17,民商法学,,
1509,法学研究,2021,43,5,数字时代的身份构建及其法律保障:以个人信息保护为中心的思考,陆青[1],[1]浙江大学光华法学院,21,民商法学,,
1510,法学研究,2023,045,5,数字私力救济——基于远程控制网联物的权利实现,王琦[1],[1]北京航空航天大学法学院,22,民商法学,,
1511,法学研究,2022,044,4,数字经济视域下包容审慎监管的法治逻辑,刘权[1],[1]中央财经大学法学院,15,经济法学,,
1512,法学研究,2024,046,5,数字证据及其阶梯式分类审查机制,郑飞[1],[1]北京交通大学法学院,18,诉讼法学,,
1513,法学研究,2023,045,3,数据产权的法律表达,刘文杰[1],[1]中国政法大学比较法学研究院,18,民商法学,,
1514,法学研究,2023,045,4,数据何以确权,王利明[1],[1]中国人民大学法学院,18,民商法学,,
1515,法学研究,2023,045,2,数据公平利用的法理反思与制度重构,丁晓东[1],[1]中国人民大学法学院,16,民商法学,,
1516,法学研究,2018,40,6,数据的私法定位与保护,纪海龙[1],[1]华东师范大学法学院,20,民商法学,,
1517,法学研究,2023,045,2,数据确权的误区,周汉华[1],[1]中国社会科学院法学研究所,18,民商法学,,
1518,法学研究,2023,045,3,数据确权：理路、方法与经济意义,熊丙万[1];何娟[2],[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,19,民商法学,,
1519,法学研究,2023,045,3,整体法秩序视野下被害人自陷风险的理论重塑,陈璇[1],[1]中国人民大学刑事法律科学研究中心,20,刑法学,刑法学,
1520,法学研究,2019,41,6,文书真伪认定的中国路径,曹志勋[1],[1]北京大学法学院,19,诉讼法学,,
1521,法学研究,2023,045,4,文体活动自甘冒险的风险分配与范围划定,申海恩[1],[1]中国政法大学民商经济法学院,21,法学理论,民商法学,
1522,法学研究,2025,000,2,文化中国的法律构建——以历史文化遗产法为中心,李富鹏[1],[1]中国政法大学法学院,17,法学理论,,
1523,法学研究,2025,047,1,文化传承视角下的中国传统法典编纂,宋玲[1],[1]中央民族大学法学院,17,法律史,,
1524,法学研究,2017,39,6,新思想引领法治新征程——习近平新时代中国特色社会主义思想对依法治国和法治建设的指导意义,张文显,中国法学会,18,法学理论,,
1525,法学研究,2019,41,4,新时代中国法治理论创新发展的六个向度,李林[1],[1]中国社会科学院法学研究所,18,国际法学,,
1526,法学研究,2018,40,4,新时代推进社会公平正义的法治要义,"胡玉鸿[1,2]",[1]苏州大学王健法学院;[2]中国法治现代化研究院,14,法学理论,,
1527,法学研究,2021,43,3,新时代行政审判因应诉源治理之道,章志远,华东政法大学,17,诉讼法学,,
1528,法学研究,2024,046,5,新时代行政生效裁判检察监督之道,章志远[1],[1]华东政法大学,17,诉讼法学,,
1529,法学研究,2017,39,4,方法论演进视野下的中国法律实证研究,雷鑫洪,中国人民公安大学法学院,20,法学理论,,
1530,法学研究,2024,046,5,无益费用的赔偿限制原理,尚连杰[1],[1]南京大学法学院,20,民商法学,,
1531,法学研究,2015,0,1,既判力相对性原则：根据、例外与制度化,张卫平[1],[1]清华大学法学院,19,诉讼法学,,
1532,法学研究,2022,044,6,明代监察系统内部监察制度析论,陈国平[1],[1]中国社会科学院法学研究所,17,法律史,,
1533,法学研究,2017,39,5,明清时期地权秩序的构造及其启示,汪洋,清华大学法学院,20,环境与资源保护法学,,
1534,法学研究,2022,044,4,晚清时期国人对法院组织的认知,侯欣一[1],[1]天津财经大学法学院,20,法律史,,
1535,法学研究,2022,044,3,晚清杀尊亲属罪转型中的基本问题,张一民[1],[1]北京大学历史学系,15,刑法学,,
1536,法学研究,2019,,3,晚清西方视角中的中国家庭法,,以哲美森译_刑案汇览_为中心-于明-华东政法大学法律学院,,法律史,,
1537,法学研究,2018,40,4,智能互联网时代的法律变革,马长山[1],[1]华东政法大学,19,法学理论,,
1538,法学研究,2018,40,5,智能投资顾问模式中的主体识别和义务设定,高丝敏[1],[1]清华大学法学院,18,民商法学,,
1539,法学研究,2021,43,6,最小必要原则在平台处理个人信息实践中的适用,武腾[1],[1]中央财经大学法学院,19,民商法学,,
1540,法学研究,2021,43,3,有组织犯罪案件分案审理问题研究,龙宗智,四川大学法学院,19,刑法学,,
1541,法学研究,2015,0,6,期待可能性理论的引入及限定性适用,钱叶六,苏州大学王健法学院,20,刑法学,,
1542,法学研究,2024,046,3,期待权之检讨,袁野[1],[1]武汉大学法学院,19,民商法学,,
1543,法学研究,2017,39,3,机能的思考方法下的罪数论,庄劲,中山大学法学院,17,刑法学,,
1544,法学研究,2019,41,3,构建公共服务法律体系的理论逻辑及现实展开,陈云良[1];寻健[2],[1]广东外语外贸大学法学院;[2]中南大学法学院,12,宪法学与行政法学,,
1545,法学研究,2018,40,3,构建行政公益诉讼的客观诉讼机制,刘艺[1],[1]西南政法大学,12,宪法学与行政法学,,
1546,法学研究,2018,40,3,构成要件错误的本质:故意行为危险的偏离,柏浪涛[1],[1]华东师范大学法学院,19,刑法学,,
1547,法学研究,2017,39,5,案件事实的归属论证,黄泽敏,中南财经政法大学法学院,19,法学理论,,
1548,法学研究,2021,43,5,案外人对执行标的主张实体权利的程序救济,金印[1],[1]中国人民大学法学院,15,诉讼法学,,
1549,法学研究,2015,0,4,检察人员对分类管理改革的立场——以问卷调查为基础,程金华[1],[1]华东政法大学国际金融法律学院,15,诉讼法学,,
1550,法学研究,2015,0,1,检察官相对独立论,朱孝清[1],[1]原最高人民检察院,17,诉讼法学,,
1551,法学研究,2020,42,6,欺诈市场理论反思,耿利航[1],[1]中国政法大学民商经济法学院、制度学研究院,21,刑法学,,
1552,法学研究,2020,,6,欺诈市场理论反思,耿利航,中国政法大学民商经济法学院、制度学研究院,,民商法学,,
1553,法学研究,2024,046,6,正当防卫中的退避义务,江溯[1],[1]北京大学法学院,20,刑法学,,
1554,法学研究,2019,41,4,正当防卫法律规则司法重构的经验研究,赵军[1],[1]北京师范大学刑事法律科学研究院,18,刑法学,,
1555,法学研究,2015,0,2,死刑存废的民意维度——以组织卖淫罪可罚性观念的测量为中心,赵军[1],[1]北京师范大学刑事法律科学研究院,16,刑法学,,
1556,法学研究,2015,0,1,死刑适用标准的体系化构造,劳东燕[1],[1]清华大学法学院,21,刑法学,,
1557,法学研究,2020,42,4,比例原则位阶秩序的司法适用,蒋红珍[1],[1]上海交通大学凯原法学院,14,法学理论,,
1558,法学研究,2020,42,2,比例原则的适用范围与限度,梅扬[1],[1]武汉大学法学院,14,法学理论,,
1559,法学研究,2018,40,6,民事实质诉讼法论,陈刚[1],[1]广州大学法学院,17,诉讼法学,,
1560,法学研究,2021,43,5,民事裁判援引规章及行政规范性文件的审查义务,汪君[1],[1]中南财经政法大学法学院,15,民商法学,,
1561,法学研究,2016,38,2,民事证明责任分配之解释基准——以物权法第106条为分析文本,徐涤宇,中南财经政法大学法学院,16,民商法学,,
1562,法学研究,2021,43,5,民事诉讼中具体化责任的转移:法理、条件与程度,周翠[1],[1]浙江大学光华法学院,16,诉讼法学,,
1563,法学研究,2017,39,2,民事诉讼中的程序异议权研究,占善刚,武汉大学法学院,19,诉讼法学,,
1564,法学研究,2021,43,1,民事诉讼撤销原判决之程序违法事由,占善刚,武汉大学环境法研究所;武汉大学法学院,14,刑法学,,
1565,法学研究,2024,046,2,民众对司法判决的认同与信赖——基于认知实验的研究,林喜芬[1];陈齐等[2];秦裕林[1],[1]上海交通大学凯原法学院;[2]交通银行安徽省分行财管部,16,法学理论,,
1566,法学研究,2018,40,3,民刑交叉诉讼关系处理的规则与法理,"张卫平[1,2]",[1]天津大学;[2]清华大学法学院,16,刑法学,,
1567,法学研究,2016,38,3,民国时期公务员惩戒委员会体制研究,聂鑫,清华大学法学院,15,法律史,,
1568,法学研究,2017,39,2,民法与商法二元格局的演变与形成,施鸿鹏,浙江大学光华法学院,20,民商法学,,
1569,法学研究,2021,43,4,民法典不当得利返还责任体系之展开,陈自强[1],[1]台湾大学法律学院,20,民商法学,,
1570,法学研究,2016,38,1,民法典与民事诉讼法的连接与统合——从民事诉讼法视角看民法典的编纂,张卫平,清华大学法学院,15,诉讼法学,,
1571,法学研究,2020,42,6,民法典中的动产和权利担保体系,龙俊[1],[1]清华大学法学院,21,民商法学,,
1572,法学研究,2024,046,4,民法典体系下动产抵押权善意取得的规范续造,黄家镇[1],[1]西南政法大学民商法学院,18,民商法学,,
1573,法学研究,2015,0,6,民法典总则编“法律行为”一章学者建议稿的编写说明,孙宪忠[1],[1]中国社会科学院法学所,12,民商法学,,
1574,法学研究,2022,044,6,民法典所有权保留之担保权构成,纪海龙[1],[1]北京大学法学院,21,民商法学,,
1575,法学研究,2024,046,4,民法典的精神损害赔偿体系——以功能主义为视角,洪国盛[1],[1]北京大学国际法学院,19,民商法学,,
1576,法学研究,2016,38,4,民法典编纂的宪法学透析,林来梵,清华大学法学院教授,20,宪法学与行政法学,,
1577,法学研究,2019,41,1,民法典编纂视野下合同法第402条、第403条的存废,方新军[1],[1]苏州大学王健法学院,22,民商法学,,
1578,法学研究,2019,41,3,民法合宪性解释的事实条件,李海平[1],[1]吉林大学法学院,17,民商法学,,
1579,法学研究,2018,40,6,民法基本原则的意义脉络,易军[1],[1]中国政法大学,19,民商法学,,
1580,法学研究,2016,38,3,民法基本原则：理论反思与法典表达,于飞,中国政法大学民商经济法学院,14,民商法学,,
1581,法学研究,2018,40,3,民法总则与公司法的适用关系论,钱玉林[1],[1]华东政法大学经济法学院,15,民商法学,,
1582,法学研究,2018,40,2,民法总则中非法人组织权利能力之证成,张其鉴[1],[1]北京大学法学院,19,民商法学,,
1583,法学研究,2018,40,1,民法总则法源条款的缺失与补充,于飞,中国政法大学民商经济法学院,16,民商法学,,
1585,法学研究,2016,38,1,治理体系的完善与民法典的时代精神,石佳友,中国人民大学法学院、中国人民大学民商事法律科学研究中心,19,环境与资源保护法学,,
1586,法学研究,2020,42,2,法人依瑕疵决议所为行为之效力,徐银波[1],[1]西南政法大学,20,民商法学,,
1587,法学研究,2024,046,2,法典化背景下环境法基本制度的法理反思与体系建构,吴凯杰[1],[1]北京大学法学院,20,环境与资源保护法学,,
1588,法学研究,2022,044,3,法学研究中裁判文书运用的方法论检讨——以刑事法文献为例的内容分析,何挺[1],[1]北京师范大学刑事法律科学研究院,19,刑法学,,
1589,法学研究,2020,42,5,法学研究新范式: 计算法学的内涵、范畴与方法,申卫星[1];刘云[1],[1]清华大学法学院,21,法学理论,,
1590,法学研究,2020,42,1,法学研究目标受众选择的大数据分析,周翔[1];刘东亮[2],[1]浙江大学光华法学院;[2]西安交通大学法学院,19,民商法学,,
1591,法学研究,2019,41,1,法官个体本位抑或法院整体本位——我国法院建构与运行的基本模式选择,顾培东[1],[1]四川大学法学院,20,诉讼法学,,
1592,法学研究,2021,43,6,法律事实理论视角下的实质性宪法解释,莫纪宏[1],[1]中国社会科学院法学研究所,16,宪法学与行政法学,,
1593,法学研究,2025,000,2,法律保留的中国方案：“本质重要性”标准的引入及应用,李忠夏[1],[1]中国人民大学法学院,16,宪法学与行政法学,,
1594,法学研究,2024,046,1,法律关系范式之反思——以民事诉讼法为中心,袁中华[1],[1]中南财经政法大学法学院,19,诉讼法学,,
1595,法学研究,2017,39,4,法律概念是重要的吗,雷磊,中国政法大学法学,23,法学理论,,
1596,法学研究,2020,42,6,法律漏洞填补的司法论证,黄泽敏[1],[1]华东师范大学法学院,18,法学理论,,
1597,法学研究,2016,38,2,法律继受中的“制度器物化”批判——以近代中国司法制度设计思路为中心,李启成,北京大学法学院,18,法律史,,
1598,法学研究,2021,43,5,法律行为内容评判的个案审查比对方法——兼谈民法典格式条款效力规范的解释,李世刚[1],[1]复旦大学法学院,20,民商法学,,
1599,法学研究,2024,046,4,法律行为效力瑕疵情形的返还清算,周江洪[1],[1]浙江大学光华法学院,18,民商法学,,
1600,法学研究,2025,047,1,法律行为汉字术语的日本翻译与中国传播史,"吴奇琦[1,2]",[1]澳门大学法学院;[2]人文社科高等研究院,23,法律史,,
1601,法学研究,2020,42,6,法律规范合宪性解释的方法论构造,刘召成[1],[1]天津大学法学院,18,宪法学与行政法学,,
1602,法学研究,2021,43,4,法律解释与法律续造的区分标准,陈坤[1],[1]南京大学法学院,18,法学理论,,
1603,法学研究,2015,0,6,法律选择协议效力的法律适用辩释,沈涓,中国社会科学院国际法研究所,16,法学理论,,
1604,法学研究,2018,40,5,法教义学与法治:法教义学的治理意义,雷磊[1],[1]中国政法大学法学院,18,法学理论,,
1605,法学研究,2024,046,5,法条授权行政立法的规范化,王克稳[1],[1]苏州大学王健法学院,17,法学理论,,
1606,法学研究,2016,38,1,法条竞合与想象竞合的区分,张明楷,清华大学法学院,21,刑法学,,
1607,法学研究,2021,43,1,法治化营商环境建设的合规机制——以刑事合规为中心,李本灿,山东大学法学院,18,刑法学,,
1608,法学研究,2017,39,2,法治国的宪法内涵——迈向功能分化社会的宪法观,李忠夏,山东大学法学院,21,宪法学与行政法学,,
1609,法学研究,2016,38,3,法治如何定量——我国法治评估量化方法评析,周祖成;杨惠琪,西南政法大学行政法学院,16,法学理论,,
1610,法学研究,2015,0,6,法治评估模式辨异,钱弘道[1];杜维超[1],[1]浙江大学法学院,15,法学理论,,
1611,法学研究,2020,42,2,法理论:历史形成、学科属性及其中国化,雷磊[1],[1]中国政法大学,22,法学理论,,
1612,法学研究,2025,047,1,法秩序统一性原理之建构,雷磊[1],[1]中国政法大学,20,诉讼法学,,
1613,法学研究,2024,046,5,注册制度改革背景下基于商标不使用的实体法抗辩,谢晴川[1],[1]武汉大学法学院,19,知识产权法学,,
1614,法学研究,2021,43,6,"注册商标使用中的""未改变显著特征""",付继存[1],[1]中国政法大学民商经济法学院,21,知识产权法学,,
1615,法学研究,2019,41,1,注意义务的规范本质与判断标准,陈璇[1],[1]中国人民大学刑事法律科学研究中心,19,刑法学,刑法学,
1616,法学研究,2022,044,5,浙路风潮中的诸权之争,张玲玉[1],[1]对外经济贸易大学法学院,17,法律史,,
1617,法学研究,2018,40,3,海上保险的最大诚信:制度内涵与立法表达,初北平[1],[1]大连海事大学法学院,18,民商法学,,
1618,法学研究,2020,42,6,涉外代理关系准据法的确定,林强[1],[1]清华大学法学院,21,国际法学,国际法学,
1619,法学研究,2017,39,3,涉外法律适用的冲突正义——以法律关系本座说为中心,徐鹏,西南政法大学,19,国际法学,,
1620,法学研究,2019,41,5,涉外知识产权归属的法律适用,阮开欣[1],[1]华东政法大学知识产权学院,18,国际法学,,
1621,法学研究,2016,,5,涉诉信访治理的正当性与法治化——1978,2015年实践探索的分析,彭小龙-中国人民大学法学院,,法学理论,宪法学与行政法学,
1622,法学研究,2020,42,1,混合共同担保人相互间无追偿权论,崔建远[1],[1]清华大学法学院,17,民商法学,,
1623,法学研究,2021,43,2,清代君臣的法外施仁博弈,蒋铁初,杭州师范大学沈钧儒法学院,18,法律史,,
1624,法学研究,2018,40,5,清代州县讼事中的国家与个人——以巴县档案为中心,汪雄涛[1],[1]苏州大学王健法学院,18,法律史,,
1625,法学研究,2019,41,5,清代州县词讼积案与上级的监督,邓建鹏[1],[1]中央财经大学法学院,18,法律史,,
1626,法学研究,2024,046,5,清代的地权习惯与法律介入———国家与市场的互动视角,赖骏楠[1],[1]复旦大学法学院,17,法律史,,
1627,法学研究,2015,0,5,清代讼师贪利形象的多重建构,尤陈俊[1],[1]中国人民大学法学院,17,法律史,,
1628,法学研究,2018,40,2,清律“家人共盗”的法思想源流,谢晶[1],[1]中国政法大学法学院,14,法律史,,
1629,法学研究,2018,40,4,清末《新民丛报》与《民报》论战中的“国民”议题,赖骏楠[1],[1]复旦大学法学院,17,法律史,,
1630,法学研究,2017,39,6,滥用知情权的逻辑及展开,王锡锌,北京大学法学院,20,法学理论,,
1631,法学研究,2022,44,1,版权保护与创作、文化发展的关系,章凯业[1],[1]中国海洋大学法学院,20,知识产权法学,,
1632,法学研究,2021,43,3,物业服务合同法律构造之中国模式,徐涤宇,中南财经政法大学法学院,16,民商法学,,
1633,法学研究,2022,044,3,牵连关系的类型——基于刑事立法、司法解释规定的分析,王彦强[1],[1]南京师范大学法学院,16,刑法学,,
1634,法学研究,2025,047,3,特别条款优先效力的理论困境及其解决路径——以特别关系的类型区分为视角,邓毅丞[1],[1]华南师范大学法学院,21,刑法学,,
1635,法学研究,2024,046,4,犯罪参与体系中区分制与单一制的融合,黎宏[1],[1]清华大学法学院,16,刑法学,,
1636,法学研究,2021,43,5,"犯罪故意概念中的""危害社会"":规范判断与归责机能",曾文科[1],[1]中国政法大学刑事司法学院,16,刑法学,,
1637,法学研究,2017,39,5,环境侵权因果关系类型化视角下的举证责任,陈伟,南京大学法学院,18,诉讼法学,,
1638,法学研究,2019,41,3,环境民事公益诉讼性质定位省思,巩固[1],[1]浙江大学光华法学院,21,环境与资源保护法学,,
1639,法学研究,2020,42,3,环境法体系中的自然保护地立法,吴凯杰[1],[1]北京大学法学院,20,环境与资源保护法学,,
1640,法学研究,2018,40,4,环境行政处罚规制功能之补强,谭冰霖[1],[1]中南财经政法大学社会科学研究院,20,宪法学与行政法学,,
1641,法学研究,2018,40,1,环境责任保险与环境风险控制的法律体系建构,马宁,西北政法大学,20,民商法学,,
1642,法学研究,2019,41,4,现代监护理念下监护与行为能力关系的重构,彭诚信[1];李贝[1],[1]上海交通大学凯原法学院,21,民商法学,民商法学,
1643,法学研究,2016,38,6,生命科技时代民法中人的主体地位构造基础,汪志刚,江西财经大学,20,民商法学,,
1644,法学研究,2022,044,4,用户价值与数字税立法的逻辑,张牧君[1],[1]北京大学法学院,20,经济法学,,
1645,法学研究,2024,046,2,申请保全错误损害赔偿责任：规范、定性及诉讼实现,占善刚[1],[1]武汉大学环境法研究所,17,民商法学,,
1646,法学研究,2019,,2,电子数据在刑事证据体系中的定位与审查判断规则,,基于网络假货犯罪案件裁判文书的分析-胡铭-浙江大学光华法学院,,诉讼法学,,
1647,法学研究,2022,044,2,电子数据的技术性鉴真,谢登科[1],[1]吉林大学法学院,16,诉讼法学,,
1648,法学研究,2016,38,6,电子证据的关联性,刘品新,中国人民大学刑事法律科学研究中心,16,诉讼法学,,
1649,法学研究,2018,40,4,电子证据真实性的三个层面——以刑事诉讼为例的分析,褚福民[1],[1]证据科学教育部重点实验室(中国政法大学)、司法文明协同创新中心,18,诉讼法学,,
1650,法学研究,2016,38,6,电子诉讼制度构建的法律基础,王福华,上海财经大学法学院教授,19,诉讼法学,,
1651,法学研究,2015,0,2,界定行政处罚行为的功能性考量路径,陈鹏,厦门大学法学院,16,宪法学与行政法学,,
1652,法学研究,2015,0,4,疫学因果关系及其证明,陈伟[1],[1]南京大学法学院,20,刑法学,,
1653,法学研究,2015,0,3,监听侦查的法治实践：美国经验与中国路径,曾赟[1],[1]浙江工商大学法学院,18,民商法学,,
1654,法学研究,2019,41,2,监察过程中的公安协助配合机制,江国华[1];张硕[1],[1]武汉大学法学院,18,诉讼法学,,
1655,法学研究,2018,40,3,直接适用的法与相关制度的体系平衡,张春良[1],[1]西南政法大学,19,民商法学,,
1656,法学研究,2015,0,4,省级统管地方法院法官任用改革审思——基于实证考察的分析,左卫民[1],[1]四川大学法学院,18,诉讼法学,,
1657,法学研究,2023,045,6,真正地理标志保护的实质与我国地理标志统一立法,王笑冰[1],[1]山东大学法学院,22,知识产权法学,,
1658,法学研究,2021,43,4,知情与行为相分离情形下法人知情归责的认定,萧鑫[1],[1]中国社会科学院法学研究所,19,民商法学,,
1659,法学研究,2022,44,1,知识产权国际博弈与中国话语的价值取向,吕炳斌[1],[1]南京大学法学院,18,知识产权法学,,
1660,法学研究,2022,44,1,知识产权惩罚性赔偿的类型化适用与风险避免——基于国际知识产权规则的视角,刘银良[1],[1]北京大学法学院,17,知识产权法学,,
1661,法学研究,2019,,2,知识产权法与反不正当竞争法一般条款的关系,,以图式的认知经济性为分析视角-蒋舸-清华大学法学院,,知识产权法学,,
1662,法学研究,2021,43,2,"破产法的指标化进路及其检讨——以世界银行""办理破产""指标为例",高丝敏,清华大学法学院,16,民商法学,,
1663,法学研究,2025,000,2,破产程序中的抵销预期保护,朱虎[1],[1]中国人民大学民商事法律科学研究中心,18,民商法学,,
1664,法学研究,2015,0,2,破产视角下的抵销,许德风[1],[1]北京大学法学院,21,民商法学,,
1665,法学研究,2018,40,1,确认之诉的限缩及其路径,刘哲玮,北京大学法学院,20,诉讼法学,,
1666,法学研究,2023,045,1,社会主义核心价值观融入司法裁判的方法论反思,雷磊[1],[1]中国政法大学,17,法学理论,,
1667,法学研究,2023,045,1,禁止财务资助规则的公司法建构,皮正德[1],[1]清华大学法学院,19,民商法学,,
1668,法学研究,2018,40,1,离婚协议中的“赠与子女财产”条款研究,陆青,浙江大学光华法学院,19,民商法学,,
1669,法学研究,2020,42,4,私法中善意认定的规则体系,石一峰[1],[1]浙江大学光华法学院,19,民商法学,,
1670,法学研究,2015,0,1,私法中理性人标准之构建,叶金强[1],[1]南京大学法学院,14,民商法学,,
1671,法学研究,2020,42,3,秦及汉初逃亡犯罪的刑罚适用和处理程序,张传玺[1],[1]中国政法大学法律古籍整理研究所,17,刑法学,,
1672,法学研究,2015,0,2,秦汉律所见“质钱”考辨,李力[1],[1]华中科技大学法学院,16,民商法学,,
1673,法学研究,2016,38,4,积极刑法立法观在中国的确立,周光权,清华大学法学院教授,18,刑法学,,
1674,法学研究,2023,045,1,积极应对人口老龄化的法治进路,郭春镇[1],[1]厦门大学法学院,18,环境与资源保护法学,,
1675,法学研究,2025,047,1,积极悔罪制度的体系化：平等适用刑法原则消极面向的展开,李本灿[1],[1]武汉大学法学院,17,刑法学,,
1676,法学研究,2016,38,2,积极抗辩事由的证明责任：误解与澄清,李昌盛,西南政法大学诉讼法与司法改革研究中心,20,诉讼法学,,
1677,法学研究,2018,40,6,税收构成要件理论的反思与再造,叶金育[1],[1]中南民族大学法学院,19,经济法学,,
1678,法学研究,2016,38,5,税法续造与税收法定主义的实现机制,汤洁茵,中国青年政治学院法学院,19,经济法学,,
1679,法学研究,2023,045,2,算法透明层次论,安晋城[1],[1]中国政法大学民商经济法学院,15,宪法学与行政法学,民商法学,
1680,法学研究,2022,044,5,类案适用的司法论证,杨知文[1],[1]华东政法大学科学研究院,15,法学理论,,
1681,法学研究,2024,046,5,精准塑造更高水平对外开放与涉外私法制度创新,张春良[1],[1]西南政法大学,21,国际法学,,
1682,法学研究,2022,044,2,纪检监察机关大数据监督的规范化与制度构建,杨建军[1],[1]西北政法大学法治学院,17,民商法学,,
1683,法学研究,2020,42,2,组织体刑事责任论及其应用,黎宏[1],[1]清华大学法学院,18,刑法学,,
1684,法学研究,2015,0,5,缔约过失与欺诈的制度竞合——以欺诈的“故意”要件为中心,刘勇[1],[1]南京大学法学院,16,民商法学,,
1685,法学研究,2016,38,3,缔约过程中说明义务的动态体系论,尚连杰,南京大学法学院,19,法学理论,,
1686,法学研究,2023,045,5,缺省性公司法规则的构造——基于减少交易成本和代理成本的分析,伍坚[1],[1]华东政法大学研究生院,19,民商法学,,
1687,法学研究,2020,42,2,网络平台的公共性及其实现——以电商平台的法律规制为视角,刘权[1],[1]中央财经大学法学院,15,经济法学,,
1688,法学研究,2023,045,5,网络暴力治理的法治化转型及立法体系建构,刘艳红[1],[1]中国政法大学刑事司法学院,17,法学理论,,
1689,法学研究,2019,41,5,网络空间中犯罪帮助行为的类型化——来自司法判决的启发,"邓矜婷[1,2]",[1]中国人民大学刑事法律科学研究中心;[2]中国人民大学未来法治研究院,19,刑法学,,
1690,法学研究,2023,045,6,羁押必要性判断中的“一贯表现”证据研究,秦宗文[1],[1]南京大学法学院,19,诉讼法学,,
1691,法学研究,2018,40,2,羁押必要性审查制度试点研究报告,陈卫东[1],[1]中国人民大学法学院,20,刑法学,,
1692,法学研究,2022,044,4,群体诉讼的博弈分析,王福华[1],[1]上海交通大学凯原法学院,20,诉讼法学,,
1693,法学研究,2023,045,2,老龄社会婚姻规则多元论,鲁晓明[1],[1]广东财经大学法治与经济发展研究所,16,民商法学,,
1694,法学研究,2020,42,3,股东会决议无效的公司法解释,"叶林[1,2]",[1]中国人民大学民商事法律科学研究中心;[2]中国人民大学法学院,21,民商法学,,
1695,法学研究,2020,42,6,股东出资加速到期的理论证成,钱玉林[1],[1]华东政法大学经济法学院,14,民商法学,,
1696,法学研究,2023,045,4,股东溢价出资的会计表达与法律属性,郑彧[1],[1]华东政法大学,17,民商法学,,
1697,法学研究,2021,43,4,自然人民事权利能力差等论的批判与反思,汪志刚[1],[1]江西财经大学法学院,18,民商法学,,
1698,法学研究,2019,41,6,自然资源分出物的自由原始取得,张力[1],[1]西南政法大学民商法学院,20,环境与资源保护法学,,
1699,法学研究,2015,0,2,自然资源国家所有权公权说再论,巩固[1],[1]浙江大学光华法学院,22,环境与资源保护法学,,
1700,法学研究,2016,38,3,自然资源国家所有权的双重权能结构,叶韫平,上海财经大学法学院,17,环境与资源保护法学,,
1701,法学研究,2023,045,2,自然资源资产国家所有权委托代理的法律性质,汪志刚[1],[1]江西财经大学法学院,18,宪法学与行政法学,,
1702,法学研究,2018,40,5,苏俄宪法在中国的传播及其当代意义,韩大元[1],[1]中国人民大学法学院,20,宪法学与行政法学,,
1703,法学研究,2023,045,3,英美在近代中国行使治外法权主体之型化与形替,屈文生[1],[1]华东政法大学,20,法律史,,
1704,法学研究,2022,44,1,著作权合同中作者权益保护的规则取舍与续造,熊琦[1],[1]华中科技大学法学院,17,民商法学,,
1705,法学研究,2015,0,6,著作权法与专利法中“惩罚性赔偿”之非惩罚性,蒋舸,清华大学法学院,18,知识产权法学,,
1706,法学研究,2021,43,2,著作权法中传播权的体系,王迁,华东政法大学,21,知识产权法学,,
1707,法学研究,2023,045,3,著作权法中作品独创性的审美逻辑,王国柱[1],[1]吉林大学法学院,19,知识产权法学,,
1708,法学研究,2019,41,2,著作权法限制音乐专有许可的正当性,王迁[1],[1]华东政法大学,20,知识产权法学,,
1709,法学研究,2024,046,3,董事合规义务：责任限缩与助推型公司法规则的构建,楼秋然[1],[1]对外经济贸易大学法学院,17,民商法学,,
1710,法学研究,2024,046,5,董事间披露义务的法律构造,袁崇霖[1],[1]清华大学法学院,19,民商法学,,
